ID,Name,Vertices,Faces,Model
J61,Triaugmented Dodecahedron,23,24,:x3d-model:`_static/x3d/triaugmented_dodecahedron.x3d`
J62,Metabidiminished Icosahedron,10,12,:x3d-model:`_static/x3d/metabidiminished_icosahedron.x3d`
J63,Tridiminished Icosahedron,9,8,:x3d-model:`_static/x3d/tridiminished_icosahedron.x3d`
J64,Augmented Tridiminished Icosahedron,10,10,:x3d-model:`_static/x3d/augmented_tridiminished_icosahedron.x3d`
J65,Augmented Truncated Tetrahedron,15,14,:x3d-model:`_static/x3d/augmented_truncated_tetrahedron.x3d`
J66,Augmented Truncated Cube,28,22,:x3d-model:`_static/x3d/augmented_truncated_cube.x3d`
J67,Biaugmented Truncated Cube,32,30,:x3d-model:`_static/x3d/biaugmented_truncated_cube.x3d`
J68,Augmented Truncated Dodecahedron,65,42,:x3d-model:`_static/x3d/augmented_truncated_dodecahedron.x3d`
J69,Parabiaugmented Truncated Dodecahedron,70,52,:x3d-model:`_static/x3d/parabiaugmented_truncated_dodecahedron.x3d`
J70,Metabiaugmented Truncated Dodecahedron,70,52,:x3d-model:`_static/x3d/metabiaugmented_truncated_dodecahedron.x3d`
J71,Triaugmented Truncated Dodecahedron,75,62,:x3d-model:`_static/x3d/triaugmented_truncated_dodecahedron.x3d`
J72,Gyrate Rhombicosidodecahedron,60,62,:x3d-model:`_static/x3d/gyrate_rhombicosidodecahedron.x3d`
J73,Parabigyrate Rhombicosidodecahedron,60,62,:x3d-model:`_static/x3d/parabigyrate_rhombicosidodecahedron.x3d`
J74,Metabigyrate Rhombicosidodecahedron,60,62,:x3d-model:`_static/x3d/metabigyrate_rhombicosidodecahedron.x3d`
J75,Trigyrate Rhombicosidodecahedron,60,62,:x3d-model:`_static/x3d/trigyrate_rhombicosidodecahedron.x3d`
J76,Diminished Rhombicosidodecahedron,55,52,:x3d-model:`_static/x3d/diminished_rhombicosidodecahedron.x3d`
J77,Paragyrate Diminished Rhombicosidodecahedron,55,52,:x3d-model:`_static/x3d/paragyrate_diminished_rhombicosidodecahedron.x3d`
J78,Metagyrate Diminished Rhombicosidodecahedron,55,52,:x3d-model:`_static/x3d/metagyrate_diminished_rhombicosidodecahedron.x3d`
J79,Bigyrate Diminished Rhombicosidodecahedron,55,52,:x3d-model:`_static/x3d/bigyrate_diminished_rhombicosidodecahedron.x3d`
J80,Parabidiminished Rhombicosidodecahedron,50,42,:x3d-model:`_static/x3d/parabidiminished_rhombicosidodecahedron.x3d`
J81,Metabidiminished Rhombicosidodecahedron,50,42,:x3d-model:`_static/x3d/metabidiminished_rhombicosidodecahedron.x3d`
J82,Gyrate Bidiminished Rhombicosidodecahedron,50,42,:x3d-model:`_static/x3d/gyrate_bidiminished_rhombicosidodecahedron.x3d`
J83,Tridiminished Rhombicosidodecahedron,45,32,:x3d-model:`_static/x3d/tridiminished_rhombicosidodecahedron.x3d`
J84,Snub Disphenoid,8,12,:x3d-model:`_static/x3d/snub_disphenoid.x3d`
J85,Snub Square Antiprism,16,26,:x3d-model:`_static/x3d/snub_square_antiprism.x3d`
J86,Sphenocorona,10,14,:x3d-model:`_static/x3d/sphenocorona.x3d`
J87,Augmented Sphenocorona,11,17,:x3d-model:`_static/x3d/augmented_sphenocorona.x3d`
J88,Sphenomegacorona,12,18,:x3d-model:`_static/x3d/sphenomegacorona.x3d`
J89,Hebesphenomegacorona,14,21,:x3d-model:`_static/x3d/hebesphenomegacorona.x3d`
J90,Disphenocingulum,16,24,:x3d-model:`_static/x3d/disphenocingulum.x3d`
J91,Bilunabirotunda,14,14,:x3d-model:`_static/x3d/bilunabirotunda.x3d`
J92,Triangular Hebesphenorotunda,18,20,:x3d-model:`_static/x3d/triangular_hebesphenorotunda.x3d`
